chain,item,calories,total_fat
Mcdonalds,Artisan Grilled Chicken Sandwich,380,7
Mcdonalds,Single Bacon Smokehouse Burger,840,45
Mcdonalds,Double Bacon Smokehouse Burger,1130,67
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,31
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,45
Mcdonalds,Big Mac,540,28
Mcdonalds,Cheeseburger,300,12
Mcdonalds,Classic Chicken Sandwich,510,24
Mcdonalds,Double Cheeseburger,430,21
Mcdonalds,Double Quarter Pounder® with Cheese,770,45
Mcdonalds,Filet-O-Fish®,380,18
Mcdonalds,Garlic White Cheddar Burger,620,34
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,20
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,34
Mcdonalds,Hamburger,250,8
Mcdonalds,Lobster Roll,290,5
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,36
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,21
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,35
Mcdonalds,McChicken,350,15
Mcdonalds,McDouble,380,18
Mcdonalds,McRib,480,22
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,33
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,18
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,32
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,23
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,22
Mcdonalds,Quarter Pounder® with Cheese,530,27
Mcdonalds,Signature Sriracha Burger,670,35
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,20
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,33
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,37
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,22
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,36
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,21
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,28
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,44
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,70
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,88
Mcdonalds,4 Piece Chicken McNuggets,180,11
Mcdonalds,6 Piece Chicken McNuggets,270,16
Mcdonalds,10 Piece Chicken McNuggets,440,27
Mcdonalds,20 Piece Chicken McNuggets,890,53
Mcdonalds,40 piece Chicken McNuggets,1770,107
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,27
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,40
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,66
Mcdonalds,Premium Asian Salad w/o Chicken,140,7
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,9
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,28
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,12
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,14
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,28
Mcdonalds,Premium Southwest Salad w/o Chicken,220,10
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,12
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,25
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,16
Chick Fil-A,Chargrilled Chicken Sandwich,310,6
Chick Fil-A,Chick-n-Slider,270,11
Chick Fil-A,1 Piece Chick-n-Strips,120,6
Chick Fil-A,2 Piece Chick-n-Strips,230,12
Chick Fil-A,3 Piece Chick-n-Strips,350,17
Chick Fil-A,4 piece Chick-n-Strips,470,23
Chick Fil-A,Chicken Deluxe,500,23
Chick Fil-A,4 piece Chicken Nuggets,130,6
Chick Fil-A,6 piece Chicken Nuggets,190,9
Chick Fil-A,8 piece Chicken Nuggets,260,12
Chick Fil-A,12 piece Chicken Nuggets,390,18
Chick Fil-A,30 piece Chicken Nuggets,970,46
Chick Fil-A,Chicken Salad Sandwich,490,19
Chick Fil-A,Chicken Sandwich,440,19
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,2
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,3
Chick Fil-A,8 piece Grilled Chicken Nuggets,140,4
Chick Fil-A,12 Piece Grilled Chicken Nuggets,210,5
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430,12
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450,13
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,18
Chick Fil-A,Spicy Chicken Sandwich,450,19
Chick Fil-A,Spicy Deluxe,540,25
Chick Fil-A,Chargrilled Chicken Cool Wrap,350,14
Chick Fil-A,Chicken Enchiladas Meal Kit,860,47
Chick Fil-A,Chicken Parmesan Meal Kit,720,31
Sonic,Hatch Green Chile Cheeseburger,710,43
Sonic,Jalapeno Burger,640,37
Sonic,Jr. Burger,340,17
Sonic,Jr. Chili Cheeseburger,410,24
Sonic,Jr. Deluxe Burger,380,23
