mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,stop_time,stop_name,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:39:00+00,Readville,place-DB-0095,1,5,0,5,1
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:42:00+00,Fairmount,place-DB-2205,2,7,0,12,2
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:47:00+00,Morton Street,place-DB-2230,3,9,1,20,3
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:50:00+00,Talbot Avenue,place-DB-2240,4,5,1,24,4
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:53:00+00,Four Corners/Geneva,place-DB-2249,5,6,1,29,5
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:56:00+00,Uphams Corner,place-DB-2258,6,1,0,30,6
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:59:00+00,Newmarket,place-DB-2265,7,0,4,26,7
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:09:00+00,South Station,place-sstat,8,,26,,8
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:25:00+00,Readville,place-DB-0095,1,13,,13,9
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:28:00+00,Fairmount,place-DB-2205,2,54,0,67,10
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:33:00+00,Morton Street,place-DB-2230,3,19,0,86,11
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:36:00+00,Talbot Avenue,place-DB-2240,4,18,0,104,12
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:39:00+00,Four Corners/Geneva,place-DB-2249,5,9,4,109,13
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:42:00+00,Uphams Corner,place-DB-2258,6,7,1,115,14
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:45:00+00,Newmarket,place-DB-2265,7,0,8,107,15
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:55:00+00,South Station,place-sstat,8,,107,,16
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:15:00+00,Readville,place-DB-0095,1,44,,44,17
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:18:00+00,Fairmount,place-DB-2205,2,128,0,172,18
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:23:00+00,Morton Street,place-DB-2230,3,33,2,203,19
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:26:00+00,Talbot Avenue,place-DB-2240,4,54,0,257,20
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:29:00+00,Four Corners/Geneva,place-DB-2249,5,42,1,298,21
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:32:00+00,Uphams Corner,place-DB-2258,6,16,0,314,22
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:35:00+00,Newmarket,place-DB-2265,7,4,7,311,23
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:45:00+00,South Station,place-sstat,8,,311,,24
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:55:00+00,Readville,place-DB-0095,1,26,,26,25
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:58:00+00,Fairmount,place-DB-2205,2,179,0,205,26
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:03:00+00,Morton Street,place-DB-2230,3,33,0,238,27
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:06:00+00,Talbot Avenue,place-DB-2240,4,21,0,259,28
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:09:00+00,Four Corners/Geneva,place-DB-2249,5,18,,277,29
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:12:00+00,Uphams Corner,place-DB-2258,6,24,0,301,30
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:15:00+00,Newmarket,place-DB-2265,7,2,9,294,31
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:25:00+00,South Station,place-sstat,8,,294,,32
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:45:00+00,Readville,place-DB-0095,1,17,,17,33
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:48:00+00,Fairmount,place-DB-2205,2,34,0,51,34
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:53:00+00,Morton Street,place-DB-2230,3,14,0,65,35
